AbsT,0
2016-03-15 09:59:50,True
2016-03-15 09:59:55,True
2016-03-15 10:00:00,True
2016-03-15 10:00:05,True
2016-03-15 10:00:10,False
2016-03-15 10:00:15,False
2016-03-15 10:00:20,False
2016-03-15 10:00:25,False
2016-03-15 10:00:30,False
2016-03-15 10:00:35,False
2016-03-15 10:00:40,True
2016-03-15 10:00:45,True
2016-03-15 10:00:50,True
2016-03-15 10:00:55,True
2016-03-15 10:01:00,True
2016-03-15 10:01:05,True
2016-03-15 10:01:10,True
2016-03-15 10:01:15,True
2016-03-15 10:01:20,True
2016-03-15 10:01:25,True
2016-03-15 10:01:30,True
2016-03-15 10:01:35,True
2016-03-15 10:01:40,False
2016-03-15 10:01:45,False
2016-03-15 10:01:50,False
2016-03-15 10:01:55,False
2016-03-15 10:02:00,False
2016-03-15 10:02:05,True
2016-03-15 10:02:10,True
2016-03-15 10:02:15,True
2016-03-15 10:02:20,True
2016-03-15 10:02:25,True
2016-03-15 10:02:30,True
2016-03-15 10:02:35,True
2016-03-15 10:02:40,True
2016-03-15 10:02:45,True
2016-03-15 10:02:50,True
2016-03-15 10:02:55,True
2016-03-15 10:03:00,True
2016-03-15 10:03:05,True
2016-03-15 10:03:10,True
2016-03-15 10:03:15,True
2016-03-15 10:03:20,True
2016-03-15 10:03:25,True
2016-03-15 10:03:30,True
2016-03-15 10:03:35,True
2016-03-15 10:03:40,True
2016-03-15 10:03:45,True
2016-03-15 10:03:50,True
2016-03-15 10:03:55,True
2016-03-15 10:04:00,True
2016-03-15 10:04:05,True
2016-03-15 10:04:10,True
2016-03-15 10:04:15,True
2016-03-15 10:04:20,True
2016-03-15 10:04:25,True
2016-03-15 10:04:30,True
2016-03-15 10:04:35,True
2016-03-15 10:04:40,True
2016-03-15 10:04:45,True
2016-03-15 10:04:50,True
2016-03-15 10:04:55,True
2016-03-15 10:05:00,True
2016-03-15 10:05:05,True
2016-03-15 10:05:10,True
2016-03-15 10:05:15,True
2016-03-15 10:05:20,True
2016-03-15 10:05:25,True
2016-03-15 10:05:30,True
2016-03-15 10:05:35,True
2016-03-15 10:05:40,True
2016-03-15 10:05:45,True
2016-03-15 10:05:50,True
2016-03-15 10:05:55,True
