AbsT,status
2016-03-15 09:32:36.085,Off
2016-03-15 09:32:40.075,Off
2016-03-15 09:32:43.940,Off
2016-03-15 09:32:48.679,Off
2016-03-15 09:32:52.044,Off
2016-03-15 09:32:56.534,Off
2016-03-15 09:33:00.024,Off
2016-03-15 09:33:05.889,Off
2016-03-15 09:33:07.879,Off
2016-03-15 09:33:12.244,Off
2016-03-15 09:33:16.859,Off
2016-03-15 09:33:20.598,Off
2016-03-15 09:33:24.588,Off
2016-03-15 09:33:28.328,Off
2016-03-15 09:33:32.568,Off
2016-03-15 09:33:36.703,Off
2016-03-15 09:33:40.288,Off
2016-03-15 09:33:44.652,Off
2016-03-15 09:33:48.642,Off
2016-03-15 09:33:52.373,Off
2016-03-15 09:33:56.987,Off
2016-03-15 09:33:59.978,Off
2016-03-15 09:34:04.217,Off
2016-03-15 09:34:08.082,Off
2016-03-15 09:34:12.322,Off
2016-03-15 09:34:16.687,Off
2016-03-15 09:34:20.679,Off
2016-03-15 09:34:24.914,Off
2016-03-15 09:34:28.522,Off
2016-03-15 09:34:31.886,Off
2016-03-15 09:34:36.253,Off
2016-03-15 09:34:40.732,Off
2016-03-15 09:34:44.221,Off
2016-03-15 09:34:48.460,Off
2016-03-15 09:34:52.826,Off
2016-03-15 09:34:57.065,Off
2016-03-15 09:35:00.180,Off
2016-03-15 09:35:04.170,Off
2016-03-15 09:35:09.160,Off
2016-03-15 09:35:12.400,Off
2016-03-15 09:35:17.016,Off
2016-03-15 09:35:20.007,Off
2016-03-15 09:35:26.349,Off
2016-03-15 09:35:28.340,Off
2016-03-15 09:35:32.829,Off
2016-03-15 09:35:36.319,Off
2016-03-15 09:35:40.684,Off
2016-03-15 09:35:44.174,Off
2016-03-15 09:35:48.664,Off
2016-03-15 09:35:52.553,Off
2016-03-15 09:35:56.393,Off
2016-03-15 09:36:00.383,Off
2016-03-15 09:36:06.623,Off
2016-03-15 09:36:07.989,Off
2016-03-15 09:36:11.978,Off
2016-03-15 09:36:16.593,Off
2016-03-15 09:36:20.458,Off
2016-03-15 09:36:24.573,Off
2016-03-15 09:36:28.563,Off
2016-03-15 09:36:32.677,Off
2016-03-15 09:36:42.887,Off
2016-03-15 09:36:47.491,Off
2016-03-15 09:36:47.983,Off
2016-03-15 09:36:48.100,Off
2016-03-15 09:36:52.077,Off
2016-03-15 09:36:56.942,Off
2016-03-15 09:37:00.181,Off
2016-03-15 09:37:04.800,Off
2016-03-15 09:37:08.411,Off
2016-03-15 09:37:12.526,Off
2016-03-15 09:37:17.016,Off
2016-03-15 09:37:20.008,Off
2016-03-15 09:37:24.248,Off
2016-03-15 09:37:28.610,Off
2016-03-15 09:37:32.351,Off
2016-03-15 09:37:36.340,Off
2016-03-15 09:37:42.935,Off
2016-03-15 09:37:45.050,Off
2016-03-15 09:37:48.575,Off
2016-03-15 09:37:52.656,Off
2016-03-15 09:37:55.896,Off
2016-03-15 09:38:00.510,Off
2016-03-15 09:38:10.470,Off
2016-03-15 09:38:10.585,Off
2016-03-15 09:38:12.325,Off
2016-03-15 09:38:16.315,Off
2016-03-15 09:38:19.930,Off
2016-03-15 09:38:24.544,Off
2016-03-15 09:38:28.907,Off
2016-03-15 09:38:33.129,Off
2016-03-15 09:38:36.245,Off
2016-03-15 09:38:40.361,Off
2016-03-15 09:38:44.474,Off
2016-03-15 09:38:48.703,Off
2016-03-15 09:38:52.193,Off
2016-03-15 09:38:56.204,Off
2016-03-15 09:39:00.798,Off
2016-03-15 09:39:05.027,Off
